Corresponding to Fig. 1c,,
Cell,Cluster,Organ
hindbrain_E10.5_embryo1_sc61,NC,hindbrain
hindbrain_E10.5_embryo1_sc62,NC,hindbrain
hindbrain_E10.5_embryo1_sc63,NC,hindbrain
hindbrain_E10.5_embryo1_sc64,NC,hindbrain
hindbrain_E10.5_embryo2_sc67,NC,hindbrain
hindbrain_E10.5_embryo2_sc68,NC,hindbrain
hindbrain_E10.5_embryo2_sc70,NC,hindbrain
hindbrain_E10.5_embryo2_sc71,NC,hindbrain
hindbrain_E10.5_embryo2_sc72,NC,hindbrain
hindbrain_E10.5_embryo2_sc74,NC,hindbrain
hindbrain_E10.5_embryo2_sc75,NC,hindbrain
hindbrain_E10.5_embryo2_sc76,NC,hindbrain
hindbrain_E10.5_embryo2_sc77,NC,hindbrain
hindbrain_E10.5_embryo2_sc78,NC,hindbrain
hindbrain_E10.5_embryo2_sc79,NC,hindbrain
hindbrain_E10.5_embryo2_sc80,NC,hindbrain
hindbrain_E10.5_embryo2_sc81,NC,hindbrain
hindbrain_E10.5_embryo2_sc82,NC,hindbrain
hindbrain_E10.5_embryo2_sc83,NC,hindbrain
hindbrain_E10.5_embryo2_sc84,NC,hindbrain
hindbrain_E10.5_embryo2_sc85,NC,hindbrain
hindbrain_E10.5_embryo2_sc86,NC,hindbrain
hindbrain_E10.5_embryo2_sc87,NC,hindbrain
hindbrain_E10.5_embryo2_sc88,NC,hindbrain
hindbrain_E10.5_embryo2_sc89,NC,hindbrain
hindbrain_E10.5_embryo2_sc90,NC,hindbrain
hindbrain_E10.5_embryo2_sc91,NC,hindbrain
hindbrain_E10.5_embryo2_sc92,NC,hindbrain
hindbrain_E10.5_embryo2_sc93,NC,hindbrain
hindbrain_E10.5_embryo2_sc94,NC,hindbrain
hindbrain_E10.5_embryo2_sc95,NC,hindbrain
hindbrain_E10.5_embryo2_sc96,NC,hindbrain
hindbrain_E11.5_embryo2_sc1,NC,hindbrain
hindbrain_E11.5_embryo2_sc2,NC,hindbrain
hindbrain_E11.5_embryo2_sc3,NC,hindbrain
hindbrain_E11.5_embryo2_sc4,NC,hindbrain
hindbrain_E11.5_embryo2_sc5,NC,hindbrain
hindbrain_E11.5_embryo2_sc6,NC,hindbrain
hindbrain_E11.5_embryo2_sc7,NC,hindbrain
hindbrain_E11.5_embryo2_sc9,NC,hindbrain
hindbrain_E11.5_embryo2_sc10,NC,hindbrain
hindbrain_E11.5_embryo2_sc11,NC,hindbrain
hindbrain_E11.5_embryo2_sc12,NC,hindbrain
hindbrain_E11.5_embryo2_sc13,NC,hindbrain
hindbrain_E11.5_embryo2_sc14,NC,hindbrain
hindbrain_E11.5_embryo2_sc15,NC,hindbrain
hindbrain_E11.5_embryo2_sc16,NC,hindbrain
hindbrain_E11.5_embryo2_sc17,NC,hindbrain
hindbrain_E11.5_embryo2_sc18,NC,hindbrain
hindbrain_E11.5_embryo2_sc25,NC,hindbrain
hindbrain_E11.5_embryo2_sc26,NC,hindbrain
hindbrain_E11.5_embryo2_sc27,NC,hindbrain
hindbrain_E11.5_embryo2_sc28,NC,hindbrain
hindbrain_E11.5_embryo2_sc29,NC,hindbrain
hindbrain_E11.5_embryo2_sc30,NC,hindbrain
hindbrain_E11.5_embryo2_sc31,NC,hindbrain
hindbrain_E11.5_embryo2_sc32,NC,hindbrain
hindbrain_E11.5_embryo1_sc65,NC,hindbrain
hindbrain_E11.5_embryo1_sc66,NC,hindbrain
hindbrain_E11.5_embryo1_sc67,NC,hindbrain
hindbrain_E11.5_embryo1_sc68,NC,hindbrain
hindbrain_E11.5_embryo1_sc69,NC,hindbrain
hindbrain_E11.5_embryo1_sc70,NC,hindbrain
hindbrain_E11.5_embryo1_sc71,NC,hindbrain
hindbrain_E11.5_embryo1_sc72,NC,hindbrain
hindbrain_E11.5_embryo1_sc73,NC,hindbrain
hindbrain_E11.5_embryo1_sc74,NC,hindbrain
hindbrain_E11.5_embryo1_sc75,NC,hindbrain
hindbrain_E11.5_embryo1_sc76,NC,hindbrain
hindbrain_E11.5_embryo1_sc77,NC,hindbrain
hindbrain_E11.5_embryo1_sc79,NC,hindbrain
hindbrain_E11.5_embryo1_sc83,NC,hindbrain
hindbrain_E11.5_embryo1_sc84,NC,hindbrain
hindbrain_E11.5_embryo1_sc85,NC,hindbrain
hindbrain_E11.5_embryo1_sc86,NC,hindbrain
hindbrain_E11.5_embryo1_sc87,NC,hindbrain
hindbrain_E11.5_embryo1_sc88,NC,hindbrain
hindbrain_E11.5_embryo1_sc89,NC,hindbrain
hindbrain_E11.5_embryo1_sc90,NC,hindbrain
hindbrain_E11.5_embryo1_sc91,NC,hindbrain
hindbrain_E11.5_embryo1_sc92,NC,hindbrain
hindbrain_E11.5_embryo1_sc94,NC,hindbrain
hindbrain_E11.5_embryo1_sc95,NC,hindbrain
hindbrain_E11.5_embryo1_sc96,NC,hindbrain
somite_E9.5_embryo2_sc2,NC,somite
somite_E9.5_embryo2_sc3,NC,somite
somite_E9.5_embryo2_sc11,NC,somite
somite_E9.5_embryo2_sc14,NC,somite
somite_E9.5_embryo2_sc18,NC,somite
somite_E9.5_embryo2_sc19,NC,somite
somite_E9.5_embryo2_sc22,NC,somite
somite_E9.5_embryo2_sc26,NC,somite
somite_E9.5_embryo2_sc36,NC,somite
somite_E9.5_embryo2_sc38,NC,somite
heart_E10.5_embryo2_sc53,EC,heart
intestine_E9.5_embryo3_sc33,EC,intestine
intestine_E9.5_embryo3_sc37,EC,intestine
intestine_E9.5_embryo3_sc38,EC,intestine
intestine_E9.5_embryo3_sc39,EC,intestine
intestine_E9.5_embryo3_sc40,EC,intestine
intestine_E9.5_embryo3_sc41,EC,intestine
intestine_E9.5_embryo3_sc43,EC,intestine
intestine_E9.5_embryo3_sc44,EC,intestine
intestine_E9.5_embryo3_sc46,EC,intestine
intestine_E9.5_embryo3_sc47,EC,intestine
intestine_E9.5_embryo3_sc48,EC,intestine
intestine_E9.5_embryo3_sc49,EC,intestine
intestine_E9.5_embryo3_sc50,EC,intestine
intestine_E9.5_embryo3_sc57,EC,intestine
intestine_E9.5_embryo3_sc58,EC,intestine
intestine_E9.5_embryo1_sc5,EC,intestine
intestine_E9.5_embryo1_sc8,EC,intestine
intestine_E9.5_embryo1_sc9,EC,intestine
intestine_E9.5_embryo1_sc10,EC,intestine
intestine_E9.5_embryo1_sc11,EC,intestine
intestine_E9.5_embryo2_sc51,EC,intestine
intestine_E9.5_embryo2_sc53,EC,intestine
intestine_E9.5_embryo2_sc54,EC,intestine
intestine_E9.5_embryo2_sc55,EC,intestine
intestine_E9.5_embryo2_sc56,EC,intestine
intestine_E9.5_embryo2_sc57,EC,intestine
intestine_E9.5_embryo2_sc59,EC,intestine
intestine_E9.5_embryo2_sc60,EC,intestine
intestine_E9.5_embryo2_sc67,EC,intestine
intestine_E9.5_embryo2_sc68,EC,intestine
intestine_E9.5_embryo2_sc69,EC,intestine
intestine_E9.5_embryo2_sc70,EC,intestine
intestine_E9.5_embryo2_sc71,EC,intestine
intestine_E9.5_embryo2_sc72,EC,intestine
intestine_E9.5_embryo2_sc74,EC,intestine
intestine_E9.5_embryo2_sc75,EC,intestine
intestine_E9.5_embryo2_sc77,EC,intestine
intestine_E9.5_embryo2_sc78,EC,intestine
intestine_E9.5_embryo2_sc80,EC,intestine
intestine_E9.5_embryo2_sc82,EC,intestine
intestine_E9.5_embryo2_sc84,EC,intestine
intestine_E9.5_embryo2_sc85,EC,intestine
intestine_E9.5_embryo2_sc86,EC,intestine
intestine_E9.5_embryo2_sc87,EC,intestine
intestine_E9.5_embryo2_sc88,EC,intestine
intestine_E9.5_embryo2_sc89,EC,intestine
intestine_E9.5_embryo2_sc90,EC,intestine
intestine_E9.5_embryo2_sc91,EC,intestine
intestine_E9.5_embryo2_sc92,EC,intestine
intestine_E9.5_embryo2_sc93,EC,intestine
intestine_E9.5_embryo2_sc94,EC,intestine
intestine_E10.5_embryo1_sc2,EC,intestine
intestine_E10.5_embryo1_sc4,EC,intestine
intestine_E10.5_embryo1_sc8,EC,intestine
intestine_E10.5_embryo1_sc9,EC,intestine
intestine_E10.5_embryo1_sc10,EC,intestine
intestine_E10.5_embryo1_sc11,EC,intestine
intestine_E10.5_embryo1_sc13,EC,intestine
intestine_E10.5_embryo1_sc18,EC,intestine
intestine_E10.5_embryo1_sc24,EC,intestine
intestine_E10.5_embryo1_sc30,EC,intestine
intestine_E10.5_embryo2_sc33,EC,intestine
intestine_E10.5_embryo2_sc36,EC,intestine
intestine_E10.5_embryo2_sc37,EC,intestine
intestine_E10.5_embryo2_sc38,EC,intestine
intestine_E10.5_embryo2_sc41,EC,intestine
intestine_E10.5_embryo2_sc45,EC,intestine
intestine_E10.5_embryo2_sc50,EC,intestine
intestine_E10.5_embryo2_sc61,EC,intestine
intestine_E10.5_embryo2_sc62,EC,intestine
intestine_E10.5_embryo2_sc64,EC,intestine
intestine_E11.5_embryo1_sc35,EC,intestine
intestine_E11.5_embryo1_sc36,EC,intestine
intestine_E11.5_embryo1_sc37,EC,intestine
intestine_E11.5_embryo1_sc40,EC,intestine
intestine_E11.5_embryo1_sc41,EC,intestine
intestine_E11.5_embryo1_sc42,EC,intestine
intestine_E11.5_embryo1_sc43,EC,intestine
intestine_E11.5_embryo1_sc44,EC,intestine
intestine_E11.5_embryo1_sc45,EC,intestine
intestine_E11.5_embryo1_sc47,EC,intestine
intestine_E11.5_embryo1_sc48,EC,intestine
intestine_E11.5_embryo1_sc49,EC,intestine
intestine_E11.5_embryo1_sc50,EC,intestine
intestine_E11.5_embryo1_sc51,EC,intestine
intestine_E11.5_embryo1_sc52,EC,intestine
intestine_E11.5_embryo1_sc54,EC,intestine
intestine_E11.5_embryo1_sc56,EC,intestine
intestine_E11.5_embryo1_sc58,EC,intestine
intestine_E11.5_embryo1_sc59,EC,intestine
intestine_E11.5_embryo1_sc62,EC,intestine
intestine_E11.5_embryo1_sc63,EC,intestine
intestine_E11.5_embryo1_sc64,EC,intestine
intestine_E11.5_embryo2_sc65,EC,intestine
intestine_E11.5_embryo2_sc68,EC,intestine
intestine_E11.5_embryo2_sc69,EC,intestine
intestine_E11.5_embryo2_sc70,EC,intestine
intestine_E11.5_embryo2_sc71,EC,intestine
intestine_E11.5_embryo2_sc73,EC,intestine
intestine_E11.5_embryo2_sc74,EC,intestine
intestine_E11.5_embryo2_sc75,EC,intestine
intestine_E11.5_embryo2_sc76,EC,intestine
intestine_E11.5_embryo2_sc78,EC,intestine
intestine_E11.5_embryo2_sc79,EC,intestine
intestine_E11.5_embryo2_sc80,EC,intestine
intestine_E11.5_embryo2_sc82,EC,intestine
intestine_E11.5_embryo2_sc83,EC,intestine
intestine_E11.5_embryo2_sc85,EC,intestine
intestine_E11.5_embryo2_sc86,EC,intestine
intestine_E11.5_embryo2_sc87,EC,intestine
intestine_E11.5_embryo2_sc88,EC,intestine
intestine_E11.5_embryo2_sc89,EC,intestine
intestine_E11.5_embryo2_sc90,EC,intestine
intestine_E11.5_embryo2_sc91,EC,intestine
intestine_E11.5_embryo2_sc94,EC,intestine
intestine_E11.5_embryo2_sc95,EC,intestine
intestine_E11.5_embryo2_sc96,EC,intestine
liver_E9.5_embryo3_sc49,EC,liver
liver_E9.5_embryo3_sc50,EC,liver
liver_E9.5_embryo3_sc55,EC,liver
liver_E9.5_embryo3_sc57,EC,liver
liver_E9.5_embryo3_sc64,EC,liver
liver_E9.5_embryo3_sc67,EC,liver
liver_E9.5_embryo3_sc84,EC,liver
liver_E9.5_embryo3_sc85,EC,liver
liver_E9.5_embryo3_sc95,EC,liver
liver_E9.5_embryo3_sc96,EC,liver
liver_E9.5_embryo1_sc55,EC,liver
liver_E9.5_embryo1_sc61,EC,liver
liver_E9.5_embryo1_sc62,EC,liver
liver_E9.5_embryo1_sc63,EC,liver
liver_E9.5_embryo1_sc64,EC,liver
liver_E9.5_embryo1_sc68,EC,liver
liver_E9.5_embryo1_sc73,EC,liver
liver_E9.5_embryo1_sc74,EC,liver
liver_E9.5_embryo1_sc81,EC,liver
liver_E9.5_embryo2_sc1,EC,liver
liver_E9.5_embryo2_sc4,EC,liver
liver_E9.5_embryo2_sc5,EC,liver
liver_E9.5_embryo2_sc6,EC,liver
liver_E9.5_embryo2_sc7,EC,liver
liver_E9.5_embryo2_sc9,EC,liver
liver_E9.5_embryo2_sc13,EC,liver
liver_E9.5_embryo2_sc14,EC,liver
liver_E9.5_embryo2_sc16,EC,liver
liver_E9.5_embryo2_sc19,EC,liver
liver_E9.5_embryo2_sc20,EC,liver
liver_E9.5_embryo2_sc35,EC,liver
liver_E9.5_embryo2_sc40,EC,liver
liver_E9.5_embryo2_sc45,EC,liver
liver_E9.5_embryo2_sc48,EC,liver
liver_E9.5_embryo2_sc49,EC,liver
liver_E10.5_embryo1_sc8,EC,liver
liver_E10.5_embryo1_sc24,EC,liver
liver_E10.5_embryo1_sc39,EC,liver
liver_E10.5_embryo1_sc46,EC,liver
liver_E10.5_embryo2_sc57,EC,liver
liver_E10.5_embryo2_sc66,EC,liver
liver_E10.5_embryo2_sc69,EC,liver
liver_E10.5_embryo2_sc76,EC,liver
liver_E11.5_embryo2_sc59,EC,liver
liver_E11.5_embryo2_sc74,EC,liver
liver_E11.5_embryo2_sc80,EC,liver
liver_E11.5_embryo2_sc82,EC,liver
liver_E11.5_embryo2_sc92,EC,liver
lung_E9.5_embryo3_sc3,EC,lung
lung_E9.5_embryo3_sc14,EC,lung
lung_E9.5_embryo3_sc15,EC,lung
lung_E9.5_embryo3_sc28,EC,lung
lung_E9.5_embryo3_sc29,EC,lung
lung_E9.5_embryo3_sc30,EC,lung
lung_E9.5_embryo3_sc32,EC,lung
lung_E9.5_embryo3_sc35,EC,lung
lung_E9.5_embryo3_sc37,EC,lung
lung_E9.5_embryo3_sc41,EC,lung
lung_E9.5_embryo3_sc43,EC,lung
lung_E9.5_embryo3_sc44,EC,lung
lung_E9.5_embryo3_sc45,EC,lung
lung_E9.5_embryo2_sc1,EC,lung
lung_E9.5_embryo2_sc21,EC,lung
lung_E9.5_embryo2_sc40,EC,lung
lung_E10.5_embryo2_sc1,EC,lung
lung_E10.5_embryo2_sc2,EC,lung
lung_E10.5_embryo2_sc3,EC,lung
lung_E10.5_embryo2_sc5,EC,lung
lung_E10.5_embryo2_sc14,EC,lung
lung_E10.5_embryo2_sc16,EC,lung
lung_E10.5_embryo2_sc19,EC,lung
lung_E10.5_embryo2_sc21,EC,lung
lung_E10.5_embryo2_sc24,EC,lung
lung_E10.5_embryo2_sc25,EC,lung
lung_E10.5_embryo2_sc28,EC,lung
lung_E10.5_embryo2_sc29,EC,lung
lung_E10.5_embryo2_sc31,EC,lung
lung_E10.5_embryo1_sc71,EC,lung
lung_E10.5_embryo1_sc75,EC,lung
lung_E10.5_embryo1_sc78,EC,lung
lung_E10.5_embryo1_sc84,EC,lung
lung_E10.5_embryo1_sc86,EC,lung
lung_E10.5_embryo1_sc94,EC,lung
lung_E11.5_embryo1_sc3,EC,lung
lung_E11.5_embryo1_sc6,EC,lung
lung_E11.5_embryo1_sc7,EC,lung
lung_E11.5_embryo1_sc8,EC,lung
lung_E11.5_embryo1_sc9,EC,lung
lung_E11.5_embryo1_sc10,EC,lung
lung_E11.5_embryo1_sc12,EC,lung
lung_E11.5_embryo1_sc14,EC,lung
lung_E11.5_embryo1_sc16,EC,lung
lung_E11.5_embryo1_sc17,EC,lung
lung_E11.5_embryo1_sc18,EC,lung
lung_E11.5_embryo1_sc19,EC,lung
lung_E11.5_embryo1_sc21,EC,lung
lung_E11.5_embryo1_sc22,EC,lung
lung_E11.5_embryo1_sc24,EC,lung
lung_E11.5_embryo1_sc25,EC,lung
lung_E11.5_embryo1_sc27,EC,lung
lung_E11.5_embryo1_sc28,EC,lung
lung_E11.5_embryo1_sc29,EC,lung
lung_E11.5_embryo1_sc31,EC,lung
lung_E11.5_embryo1_sc32,EC,lung
lung_E11.5_embryo2_sc40,EC,lung
lung_E11.5_embryo2_sc58,EC,lung
lung_E11.5_embryo2_sc60,EC,lung
skin_E9.5_embryo3_sc1,EC,skin
skin_E9.5_embryo3_sc4,EC,skin
skin_E9.5_embryo3_sc7,EC,skin
skin_E9.5_embryo3_sc9,EC,skin
skin_E9.5_embryo3_sc16,EC,skin
skin_E9.5_embryo3_sc17,EC,skin
skin_E9.5_embryo3_sc19,EC,skin
skin_E9.5_embryo3_sc20,EC,skin
skin_E9.5_embryo3_sc25,EC,skin
skin_E9.5_embryo3_sc26,EC,skin
skin_E9.5_embryo3_sc32,EC,skin
skin_E9.5_embryo2_sc16,EC,skin
skin_E9.5_embryo2_sc18,EC,skin
skin_E9.5_embryo2_sc20,EC,skin
skin_E9.5_embryo2_sc30,EC,skin
skin_E9.5_embryo2_sc31,EC,skin
skin_E9.5_embryo2_sc32,EC,skin
skin_E9.5_embryo2_sc35,EC,skin
skin_E10.5_embryo1_sc3,EC,skin
skin_E10.5_embryo1_sc9,EC,skin
skin_E10.5_embryo1_sc11,EC,skin
skin_E10.5_embryo1_sc21,EC,skin
skin_E10.5_embryo1_sc25,EC,skin
skin_E10.5_embryo1_sc27,EC,skin
skin_E10.5_embryo1_sc29,EC,skin
skin_E10.5_embryo2_sc34,EC,skin
skin_E10.5_embryo2_sc36,EC,skin
skin_E10.5_embryo2_sc37,EC,skin
skin_E10.5_embryo2_sc38,EC,skin
skin_E10.5_embryo2_sc39,EC,skin
skin_E10.5_embryo2_sc41,EC,skin
skin_E10.5_embryo2_sc44,EC,skin
skin_E10.5_embryo2_sc45,EC,skin
skin_E10.5_embryo2_sc46,EC,skin
skin_E10.5_embryo2_sc47,EC,skin
skin_E10.5_embryo2_sc49,EC,skin
skin_E10.5_embryo2_sc53,EC,skin
skin_E10.5_embryo2_sc54,EC,skin
skin_E10.5_embryo2_sc59,EC,skin
skin_E10.5_embryo2_sc63,EC,skin
skin_E11.5_embryo2_sc1,EC,skin
skin_E11.5_embryo2_sc2,EC,skin
skin_E11.5_embryo2_sc3,EC,skin
skin_E11.5_embryo2_sc4,EC,skin
skin_E11.5_embryo2_sc5,EC,skin
skin_E11.5_embryo2_sc6,EC,skin
skin_E11.5_embryo2_sc7,EC,skin
skin_E11.5_embryo2_sc9,EC,skin
skin_E11.5_embryo2_sc10,EC,skin
skin_E11.5_embryo2_sc13,EC,skin
skin_E11.5_embryo2_sc14,EC,skin
skin_E11.5_embryo2_sc17,EC,skin
skin_E11.5_embryo2_sc18,EC,skin
skin_E11.5_embryo2_sc19,EC,skin
skin_E11.5_embryo2_sc20,EC,skin
skin_E11.5_embryo2_sc21,EC,skin
skin_E11.5_embryo2_sc24,EC,skin
skin_E11.5_embryo2_sc25,EC,skin
skin_E11.5_embryo2_sc26,EC,skin
skin_E11.5_embryo2_sc28,EC,skin
skin_E11.5_embryo2_sc30,EC,skin
skin_E11.5_embryo2_sc31,EC,skin
skin_E11.5_embryo2_sc32,EC,skin
skin_E11.5_embryo1_sc65,EC,skin
skin_E11.5_embryo1_sc70,EC,skin
skin_E11.5_embryo1_sc74,EC,skin
skin_E11.5_embryo1_sc76,EC,skin
skin_E11.5_embryo1_sc77,EC,skin
skin_E11.5_embryo1_sc78,EC,skin
skin_E11.5_embryo1_sc79,EC,skin
skin_E11.5_embryo1_sc80,EC,skin
skin_E11.5_embryo1_sc84,EC,skin
skin_E11.5_embryo1_sc86,EC,skin
skin_E11.5_embryo1_sc87,EC,skin
skin_E11.5_embryo1_sc88,EC,skin
skin_E11.5_embryo1_sc90,EC,skin
skin_E11.5_embryo1_sc91,EC,skin
skin_E11.5_embryo1_sc92,EC,skin
skin_E11.5_embryo1_sc93,EC,skin
skin_E11.5_embryo1_sc94,EC,skin
skin_E11.5_embryo1_sc95,EC,skin
skin_E11.5_embryo1_sc96,EC,skin
forebrain_E9.5_embryo2_sc41,MC,forebrain
forebrain_E9.5_embryo2_sc44,MC,forebrain
forebrain_E9.5_embryo2_sc83,MC,forebrain
forebrain_E10.5_embryo1_sc66,MC,forebrain
forebrain_E10.5_embryo1_sc68,MC,forebrain
forebrain_E10.5_embryo1_sc69,MC,forebrain
forebrain_E10.5_embryo1_sc72,MC,forebrain
forebrain_E10.5_embryo1_sc73,MC,forebrain
forebrain_E10.5_embryo1_sc75,MC,forebrain
forebrain_E10.5_embryo1_sc81,MC,forebrain
forebrain_E10.5_embryo1_sc83,MC,forebrain
forebrain_E10.5_embryo1_sc84,MC,forebrain
forebrain_E10.5_embryo1_sc94,MC,forebrain
heart_E9.5_embryo1_sc1,MC,heart
heart_E9.5_embryo1_sc2,MC,heart
heart_E9.5_embryo1_sc3,MC,heart
heart_E9.5_embryo1_sc4,MC,heart
heart_E9.5_embryo1_sc5,MC,heart
heart_E9.5_embryo1_sc6,MC,heart
heart_E9.5_embryo1_sc7,MC,heart
heart_E9.5_embryo1_sc8,MC,heart
heart_E9.5_embryo1_sc9,MC,heart
heart_E9.5_embryo1_sc10,MC,heart
heart_E9.5_embryo1_sc11,MC,heart
heart_E9.5_embryo1_sc12,MC,heart
heart_E9.5_embryo1_sc13,MC,heart
heart_E9.5_embryo1_sc15,MC,heart
heart_E9.5_embryo1_sc17,MC,heart
heart_E9.5_embryo1_sc18,MC,heart
heart_E9.5_embryo1_sc19,MC,heart
heart_E9.5_embryo1_sc20,MC,heart
heart_E9.5_embryo1_sc21,MC,heart
heart_E9.5_embryo1_sc22,MC,heart
heart_E9.5_embryo1_sc24,MC,heart
heart_E9.5_embryo1_sc25,MC,heart
heart_E9.5_embryo1_sc26,MC,heart
heart_E9.5_embryo1_sc27,MC,heart
heart_E9.5_embryo1_sc29,MC,heart
heart_E9.5_embryo1_sc30,MC,heart
heart_E9.5_embryo1_sc31,MC,heart
heart_E9.5_embryo1_sc32,MC,heart
heart_E9.5_embryo1_sc33,MC,heart
heart_E9.5_embryo1_sc35,MC,heart
heart_E9.5_embryo1_sc36,MC,heart
heart_E9.5_embryo1_sc37,MC,heart
heart_E9.5_embryo1_sc38,MC,heart
heart_E9.5_embryo1_sc39,MC,heart
heart_E9.5_embryo1_sc40,MC,heart
heart_E9.5_embryo1_sc41,MC,heart
heart_E9.5_embryo1_sc42,MC,heart
heart_E9.5_embryo1_sc43,MC,heart
heart_E9.5_embryo1_sc44,MC,heart
heart_E9.5_embryo1_sc45,MC,heart
heart_E9.5_embryo1_sc46,MC,heart
heart_E9.5_embryo1_sc47,MC,heart
heart_E9.5_embryo1_sc48,MC,heart
heart_E9.5_embryo1_sc49,MC,heart
heart_E9.5_embryo1_sc50,MC,heart
heart_E9.5_embryo2_sc39,MC,heart
heart_E9.5_embryo2_sc40,MC,heart
heart_E9.5_embryo2_sc41,MC,heart
heart_E9.5_embryo2_sc42,MC,heart
heart_E9.5_embryo2_sc43,MC,heart
heart_E9.5_embryo2_sc45,MC,heart
heart_E9.5_embryo2_sc46,MC,heart
heart_E9.5_embryo2_sc48,MC,heart
heart_E9.5_embryo2_sc49,MC,heart
heart_E9.5_embryo2_sc50,MC,heart
heart_E9.5_embryo2_sc51,MC,heart
heart_E9.5_embryo2_sc52,MC,heart
heart_E9.5_embryo2_sc53,MC,heart
heart_E9.5_embryo2_sc54,MC,heart
heart_E9.5_embryo2_sc55,MC,heart
heart_E9.5_embryo2_sc56,MC,heart
heart_E9.5_embryo2_sc57,MC,heart
heart_E9.5_embryo2_sc58,MC,heart
heart_E9.5_embryo2_sc59,MC,heart
heart_E9.5_embryo2_sc60,MC,heart
heart_E9.5_embryo2_sc61,MC,heart
heart_E9.5_embryo2_sc62,MC,heart
heart_E9.5_embryo2_sc63,MC,heart
heart_E9.5_embryo2_sc64,MC,heart
heart_E9.5_embryo2_sc65,MC,heart
heart_E9.5_embryo2_sc66,MC,heart
heart_E9.5_embryo2_sc67,MC,heart
heart_E9.5_embryo2_sc68,MC,heart
heart_E9.5_embryo2_sc70,MC,heart
heart_E9.5_embryo2_sc71,MC,heart
heart_E9.5_embryo2_sc72,MC,heart
heart_E9.5_embryo2_sc73,MC,heart
heart_E9.5_embryo2_sc74,MC,heart
heart_E9.5_embryo2_sc75,MC,heart
heart_E9.5_embryo2_sc76,MC,heart
heart_E9.5_embryo2_sc77,MC,heart
heart_E9.5_embryo2_sc78,MC,heart
heart_E9.5_embryo2_sc79,MC,heart
heart_E9.5_embryo2_sc80,MC,heart
heart_E9.5_embryo2_sc81,MC,heart
heart_E9.5_embryo2_sc82,MC,heart
heart_E9.5_embryo2_sc83,MC,heart
heart_E9.5_embryo2_sc84,MC,heart
heart_E9.5_embryo2_sc85,MC,heart
heart_E9.5_embryo2_sc86,MC,heart
heart_E10.5_embryo1_sc1,MC,heart
heart_E10.5_embryo1_sc2,MC,heart
heart_E10.5_embryo1_sc3,MC,heart
heart_E10.5_embryo1_sc4,MC,heart
heart_E10.5_embryo1_sc5,MC,heart
heart_E10.5_embryo1_sc6,MC,heart
heart_E10.5_embryo1_sc9,MC,heart
heart_E10.5_embryo1_sc10,MC,heart
heart_E10.5_embryo1_sc11,MC,heart
heart_E10.5_embryo1_sc12,MC,heart
heart_E10.5_embryo1_sc17,MC,heart
heart_E10.5_embryo1_sc18,MC,heart
heart_E10.5_embryo1_sc20,MC,heart
heart_E10.5_embryo1_sc21,MC,heart
heart_E10.5_embryo1_sc22,MC,heart
heart_E10.5_embryo1_sc24,MC,heart
heart_E10.5_embryo1_sc25,MC,heart
heart_E10.5_embryo1_sc26,MC,heart
heart_E10.5_embryo1_sc27,MC,heart
heart_E10.5_embryo1_sc29,MC,heart
heart_E10.5_embryo1_sc30,MC,heart
heart_E10.5_embryo1_sc31,MC,heart
heart_E10.5_embryo1_sc32,MC,heart
heart_E10.5_embryo1_sc35,MC,heart
heart_E10.5_embryo1_sc38,MC,heart
heart_E10.5_embryo1_sc39,MC,heart
heart_E10.5_embryo1_sc40,MC,heart
heart_E10.5_embryo1_sc41,MC,heart
heart_E10.5_embryo1_sc42,MC,heart
heart_E10.5_embryo1_sc43,MC,heart
heart_E10.5_embryo1_sc44,MC,heart
heart_E10.5_embryo1_sc45,MC,heart
heart_E10.5_embryo1_sc46,MC,heart
heart_E10.5_embryo1_sc47,MC,heart
heart_E10.5_embryo1_sc48,MC,heart
heart_E10.5_embryo2_sc49,MC,heart
heart_E10.5_embryo2_sc50,MC,heart
heart_E10.5_embryo2_sc52,MC,heart
heart_E10.5_embryo2_sc54,MC,heart
heart_E10.5_embryo2_sc55,MC,heart
heart_E10.5_embryo2_sc56,MC,heart
heart_E10.5_embryo2_sc57,MC,heart
heart_E10.5_embryo2_sc58,MC,heart
heart_E10.5_embryo2_sc59,MC,heart
heart_E10.5_embryo2_sc60,MC,heart
heart_E10.5_embryo2_sc61,MC,heart
heart_E10.5_embryo2_sc63,MC,heart
heart_E10.5_embryo2_sc64,MC,heart
heart_E10.5_embryo2_sc65,MC,heart
heart_E10.5_embryo2_sc66,MC,heart
heart_E10.5_embryo2_sc67,MC,heart
heart_E10.5_embryo2_sc68,MC,heart
heart_E10.5_embryo2_sc69,MC,heart
heart_E10.5_embryo2_sc70,MC,heart
heart_E10.5_embryo2_sc71,MC,heart
heart_E10.5_embryo2_sc72,MC,heart
heart_E10.5_embryo2_sc73,MC,heart
heart_E10.5_embryo2_sc74,MC,heart
heart_E10.5_embryo2_sc76,MC,heart
heart_E10.5_embryo2_sc77,MC,heart
heart_E10.5_embryo2_sc78,MC,heart
heart_E10.5_embryo2_sc79,MC,heart
heart_E10.5_embryo2_sc80,MC,heart
heart_E10.5_embryo2_sc81,MC,heart
heart_E10.5_embryo2_sc82,MC,heart
heart_E10.5_embryo2_sc83,MC,heart
heart_E10.5_embryo2_sc84,MC,heart
heart_E10.5_embryo2_sc85,MC,heart
heart_E10.5_embryo2_sc86,MC,heart
